1,1,Margherita Pizza,"Classic tomato, basil, and mozzarella cheese pizza",699.00,t,Pizza
2,3,FarmHouse Pizza,"Delightful combination of onion, capsicum, tomato & grilled mushroom",459.00,t,Pizza
3,3,Margherita Pizza,"Classic Italian pizza topped with tomato sauce, fresh mozzarella, and basil leaves",399.00,t,Pizza
4,3,Chicken Alfredo Pasta,"Creamy pasta with grilled chicken, mushrooms, and Alfredo sauce",549.00,t,Pasta
5,3,Vegetable Lasagna,Layers of pasta filled with assorted vegetables and creamy cheese sauce,499.00,t,Pasta
6,3,Grilled Salmon,Grilled salmon fillet served with roasted vegetables and lemon butter sauce,699.00,t,Seafood
7,3,Shrimp Scampi,Juicy shrimp sautéed in garlic butter and served over a bed of linguine pasta,599.00,t,Seafood
8,3,Caesar Salad,"Fresh romaine lettuce tossed with Caesar dressing, croutons, and Parmesan cheese",299.00,t,Salad
9,3,Mushroom Risotto,"Creamy risotto rice cooked with mushrooms, onions, and Parmesan cheese",479.00,t,Risotto
10,3,Tiramisu,Classic Italian dessert made with layers of coffee-soaked ladyfingers and mascarpone cheese,349.00,t,Dessert
11,3,New York Cheesecake,Rich and creamy cheesecake with a graham cracker crust,399.00,t,Dessert
22,4,BBQ Chicken Burger,"Grilled chicken breast with BBQ sauce, lettuce, tomato, and onions in a sesame seed bun",499.00,t,Burger
23,4,Veggie Burger,"A flavorful vegetarian patty made with assorted vegetables, served with lettuce, tomato, and mayo",449.00,t,Burger
24,4,Steak Frites,Grilled sirloin steak served with crispy French fries and a side of garlic aioli,799.00,t,Entree
25,4,Vegetable Stir Fry,"Assorted fresh vegetables stir-fried in a savory sauce, served with steamed rice",429.00,t,Entree
26,4,Caprese Salad,"Fresh mozzarella cheese, ripe tomatoes, and basil leaves drizzled with balsamic glaze",349.00,t,Salad
27,4,Spaghetti Bolognese,"Spaghetti pasta topped with rich meat sauce made with ground beef, tomatoes, and herbs",549.00,t,Pasta
28,4,Margarita Cocktail,"Classic cocktail made with tequila, triple sec, lime juice, and a salt rim",349.00,t,Beverage
29,4,Mojito,"Refreshing cocktail made with rum, mint leaves, lime juice, sugar, and soda water",379.00,t,Beverage
30,4,Chocolate Lava Cake,"Decadent chocolate cake with a molten chocolate center, served with vanilla ice cream",449.00,t,Dessert
31,4,Fruit Platter,Assorted fresh seasonal fruits served with a honey-yogurt dip,299.00,t,Dessert
32,4,Tomato Soup,Fresh tomato & herbs naturally flavored with a dash of cream,125.00,t,Soup
33,4,Veg Manchurian Soup,,99.00,t,Soup
34,4,Dal Shorba,Lentil shorba with vegetables,105.00,t,Soup
35,4,Hara Bhara Kebab,Spinach patty with a mild flavor filled with nuts & shallow fried.,299.00,t,Starter
36,4,Chilli Paneer,"Cottage cheese sautéed with three pepper, garlic & onion in soya sauce",299.00,t,Starter
37,4,Paneer Angara Tikka,"Barbecued chunks of cottage cheese skewered with vegetables, flavored with exotic spices",315.00,t,Starter
38,4,Honey Chilli Potato,Crispy fried potato finger tossed with honey chilli sauce,199.00,t,Starter
39,4,Veg Thali,Dal Tadka + Mix Veg + Shahi Paneer + 2 Roti + Green Salad + Rice,199.00,t,Thali
40,4,Veg Deluxe Thali,Dal Makhani + Mix Veg + Kadhai Paneer + Rice + Green Salad + Gulab Jamun (1 Piece) + 1 Laccha Paratha + 1 Butter Roti + Papad,299.00,t,Thali
41,4,Tandoori Roti,Indian bread made out of wheat flour and baked in tandoor,30.00,t,Roti
42,4,Butter Roti,Indian bread made out of wheat flour and butter baked in tandoor,35.00,t,Roti
43,4,Naan,Gram flour and wheat flour kneaded with herbs and cooked in tandoor,69.00,t,Roti
