1,2,Pizza Palace,hotel,123 Main Street,4.50,t,9876543210,Best pizza in town!
2,8,AHIAWR,Cafe,"FHSAHF

FH
SFHF
SAF
SF
",0.00,t,,"HFAOHFAS

F
SAH
FA
FSA
"
3,11,Pizza Hut,Fast-Food,"Ambadi Road, Vishwakarma Nagar, Vasai West, Vasai Virar, 401202, Maharashtra, India
",0.00,t,,"Enjoy Pizza Hut’s delicious new pizzas at up to Rs. 300* OFF using code HUT300 | Order now and get 2 personal pizzas at Rs. 299* | For more such amazing offers - Visit our website or download the Pizza Hut app today
"
4,13,Balakrishna,hotel,"Irla , Vile Parla west ,Mumbai",3.90,t,753698421,excellence of more then 2 decade
5,14,David's Diner,Fast Food,"123 Oak Street, Springfield",4.80,t,555-1234,A cozy diner offering classic American dishes.
6,15,Elizabeth's Eatery,Hotel,"456 Elm Street, Rivertown",4.50,t,555-5678,A charming restaurant serving delicious Mediterranean dishes.
7,16,Christopher's Cafe,Cafe,"789 Maple Avenue, Lakeside",4.70,t,555-9012,An Italian cafe known for its authentic pasta and pizza.
8,17,Mary's Bistro,Fast Food,"101 Pine Street, Hillcrest",4.60,t,555-3456,A sophisticated bistro offering classic French dishes.
9,18,Daniel's Deli,Cafe,"234 Walnut Street, Woodland",4.40,t,555-7890,A cozy deli serving a variety of delicious sandwiches.
10,19,Patricia's Pizzeria,Fast Food,"345 Cedar Street, Seaview",4.90,t,555-2345,A family-friendly pizzeria with a wide selection of toppings.
11,20,John's Joint,Hotel,"456 Oak Street, Riverdale",4.70,t,555-6789,A popular steakhouse known for its juicy steaks and elegant ambiance.
12,21,Tasty Tacos,Fast Food,"456 Tacos Street, Taco City",4.30,t,555-5678,A delicious taco spot serving authentic Mexican cuisine.
